id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
971,9118,Ormond Quay Upper,7,10 P&D (Total),Liffey Side Opposite Number 12,,2.90,5 On Ormond Quay Upper,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2473 03/08/2010",TRUE,,Yellow,-6.269314,53.345807,02/01/2012 22:45:00,NULL
972,9119,Ormond Quay Upper,7,10 P&D (Total),Near Capel St,,2.90,5 On Ormond Quay Upper,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2484",TRUE,,Yellow,-6.268388,53.346102,02/01/2012 22:45:00,NULL
973,9120,Strand Street Great,1,10 P&D + 4 DP,opp no 7A,15/05/2002,2.90,"Strand St Little 114, 7 On Capel St, Jervis St 2192","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2271",TRUE,,Yellow,-6.266976,53.346671,02/01/2012 22:45:00,NULL
974,9121,Swift's Row,1,22 P&D,Junction Of Ormond Quay Lower,15/05/2002,2.90,"Jervis St 2192, Strand St Great 2271","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2170 03/08/2010",TRUE,,Yellow,-6.26578,53.346354,02/01/2012 22:45:00,NULL
975,9122,Jervis Street,1,19 P&D (Total),No 1,15/05/2002,2.90,"Jervis St 2181, Swifts Row 2170, Strand St Great 2271","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2192 03/08/2010",TRUE,,Yellow,-6.26587,53.346903,02/01/2012 22:45:00,NULL
976,9123,The Lotts,1,21 P&D,Off Liffey Street,15/05/2002,2.90,Jervis St 2192,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2282",FALSE,,Yellow,-6.262469,53.347436,02/01/2012 22:45:00,NULL
977,9124,Wolfe Tone Street,1,16 P&D + 14 DP (Total),At the Park,,2.90,"Wolfe Tone St 2349, Mary St 2451, Jervis St 2181","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2338",TRUE,,Yellow,-6.26717,53.348026,02/01/2012 22:45:00,NULL
978,9125,Mary Street,1,9 P&D,No 6,,2.90,"7 On Capel St, Wolfe Tone St 2338, 2349","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2451",TRUE,,Yellow,-6.267909,53.348553,02/01/2012 22:45:00,NULL
979,9126,Earlsfort Terrace,2,60 P&D (Total),Hotel - Opposite Concert Hall,,2.90,6 On Earlsfort Terrace,Mon-Sat 07.00-19.00,FALSE,,,"replaced met,415,7145",TRUE,,Yellow,-6.258084,53.334425,02/01/2012 22:45:00,NULL
980,9127,Charlemont Street,2,27 P&D + 3 DP (Total),At Light-Stand 6,,2.90,"Charlemont St 219, Charlemont Place 413, Charlemont Mall 126",Mon-Sat 10-00.16.00,TRUE,before 10.00 + after16.00,,"replaced met, 84",FALSE,,Yellow,-6.261867,53.331474,02/01/2012 22:45:00,NULL
981,9128,Grattan Crescent,8,23 P&D (Total),At the park entrance,17/04/2001,1.00,Grattan Crescent 127,Mon-Sat 10.00-16.00,TRUE,before 10.00 after 16.00,,"replaced met, 663",TRUE,,Orange,-6.320094,53.340661,02/01/2012 22:45:00,NULL
982,9129,Mespil Road,4,27 P&D + 40 DP (Total),No 67,19/04/1999,2.90,"Mespil Rd 3450, Baggot St Upr 3406, 3417",Mon-Sat 10.00-16.00,TRUE,Clearways,,"replaced met, 347",TRUE,,Yellow,-6.245926,53.333716,02/01/2012 22:45:00,NULL
983,9130,Waterloo Road,4,9 P&D + 72 DP (Total),Opp Cellular World,19/04/1999,2.90,"Waterloo Rd 346, Eastmoreland Place 3439, Baggot St Upr 3406, 3417",Mon-Sat 07.00-16.00,TRUE,Bus lane,,"replaced met,345",TRUE,,Yellow,-6.243367,53.332741,02/01/2012 22:45:00,NULL
984,9131,Northumberland Road,4,54 P&D / DP,Irish Cancer Society,10/05/2000,2.90,"Percy Place 501, Estate Cottages 33",Mon-Sat 10.00-16.00,TRUE,Bus lane,,"replaced met,528",TRUE,,Yellow,-6.239754,53.337106,02/01/2012 22:45:00,NULL
985,9132,Dartmouth Road,6,51 P&D / DP (Total),At Beta-set Design & Printing,,2.90,"Dartmouth Road 227, 451, 605",Mon-Fri 08.00-18.30,FALSE,,,"replaced met, 450",TRUE,,Yellow,-6.25828,53.329405,02/01/2012 22:45:00,NULL
986,9133,Clanbrassil Street Lower,8,30 P&D (Total),At DIY Store,11/06/2001,2.40,"Clanbrassil St Lwr 696, St. Vincent's St Sth 869",Mon-Sat 10.00-19.00,TRUE,before 10.00,,"replaced met, 695",FALSE,,Red,-6.275307,53.333231,02/01/2012 22:45:00,NULL
987,9134,Clanbrassil Street Lower,8,30 P&D (Total),At Light-Stand 35,11/06/2001,2.40,"Clanbrassil St Lwr 695, St. Vincent's St Sth 869",Mon-Sat 07.00-16.00,TRUE,after 16.00,,"replaced met, 696",FALSE,,Red,-6.275022,53.333372,02/01/2012 22:45:00,NULL
988,9135,Kevin Street Lower,8,16 P&D (Total),DIT,27/03/2000,2.90,"Kevin St Lwr 393, New Bride St 176, 647",Mon-Sat 07.00-19.00,FALSE,,,"replaced met, 472  16/11/2010",TRUE,,Yellow,-6.267722,53.337585,02/01/2012 22:45:00,NULL
989,9136,Pearse Street,2,,St. Mary's Worship Centre,,2.90,"4 On Lombard St East, Mark St 282",Mon-Fri 10.00-16.00,TRUE,Before 10 / After 16,,"replaced met,314   16/11/2010",TRUE,,Yellow,-6.250803,53.344514,02/01/2012 22:45:00,NULL
990,9137,Anglesea Road,4,105 P&D / DP (Total),Near Merrion Rd,,2.40,"Angelsea Rd 524, Merrion Road 370",Mon-Sat 10:00-16.00,TRUE,Bus Lane,,"replaced met, 288",TRUE,,Red,-6.230658,53.328172,02/01/2012 22:45:00,NULL
991,9138,Noel Purcell Walk,2,10 P&D (Total),Noel Purcell Walk,,2.90,"Longford St Little 2552, Longford St Great 804","Mon-Sat 07.00-16.00, Sun 14.00-18.00",TRUE,,,"replaced met, 2563",FALSE,,Yellow,-6.2642,53.340528,02/01/2012 22:45:00,NULL
992,9139,Longford Street Little,2,10 P&D (Total),Aungier Street Junction,,2.90,"Longford St Little 2563, Longford St Great 804","Mon-Sat 07.00-16.00, Sun 14.00-18.00",TRUE,,,"replaced met, 2552",FALSE,,Yellow,-6.265225,53.340688,02/01/2012 22:45:00,NULL
993,9140,Blackhall Place,7,5 P&D / DP (Total),Opposite The Gravel Walk Court,,2.40,"Blackhall Place 809, Hendrick Lane 445",Mon-Sat 10.00-16.00,TRUE,Bus lane 7-10 + 16.00-19.00,,"replaced met, 746",FALSE,,Red,-6.282245,53.348048,02/01/2012 22:45:00,NULL
994,9142,Gardiner Street Lower,1,29 P&D (Total),No 38,,2.90,"Gardiner St Lwr 121, Deverell Place 120, Talbot St 481, Railway St 758",Mon-Sat 07.00-16.00,TRUE,after 16.00,,"replaced met, 119    12/11/2010",TRUE,,Yellow,-6.254789,53.351069,02/01/2012 22:45:00,NULL
995,9143,Gardiner Street Lower,1,29 P&D (Total),Custom Hall,,2.90,"Gardiner St Lwr 119, Deverell Place 120, Railway St 758, Talbot St 481",Mon-Sat 07.00-16.00,TRUE,after 16.00,,"replaced met, 121    15/11/2010",TRUE,,Yellow,-6.25522,53.351655,02/01/2012 22:45:00,NULL
996,9145,Dorset Street Upper,1,65 P&D (Total),Side Of Dominick St Church,,2.90,"Dorset St Upr 377, 7 On Dominic St Lwr",Mon-Sat 10.00-19.00,TRUE,Clearway,,"replaced met, 376,7482",TRUE,,Yellow,-6.267366,53.353644,02/01/2012 22:45:00,NULL
997,9146,Dorset Street Upper,1,65 P&D (Total),Opposite Meter 376,,2.90,"Dorset St Upr 376, 7 On Dominic St Lwr",Mon-Sat 07.00-16.00,TRUE,After 16.00,,"replaced met, 377,7022",TRUE,,Yellow,-6.267616,53.35365,02/01/2012 22:45:00,NULL
998,9147,Berkeley Road,7,44 P&D / DP (Total),At St. Joseph's Church,,2.40,"Geraldine St 708, O'Connell Ave 220",Mon-Sat 10.00-19.00,TRUE,Before 10.00,,"replaced met, 107,7998",FALSE,,Red,-6.26875,53.357917,02/01/2012 22:45:00,NULL
999,9148,Amiens Street,1,58 P&D (Total),Junction Of Store Street,,2.40,"Talbot St 498, 6 On Amiens Street",Mon-Sat 07.00-16.00,TRUE,Bus Lane 16.00-19.00,,Replaced 399 16/12/2010,FALSE,,Red,-6.250541,53.350834,02/01/2012 22:45:00,NULL
1000,9149,Jervis Street,1,19 P&D (Total),Wolfe Tone Park opp Jervis Centre,15/05/2002,2.90,"Jervis St 2192, Wolfe Tone St 2338, 2349","Mon-Sat 07.00-16.00, Sun 14.00-18.00",TRUE,16.00-19.00  Mon-Sat,,Replaced 2181 08/12/2010,TRUE,,Yellow,-6.266382,53.348155,02/01/2012 22:45:00,NULL
1001,9150,Chelmsford Road,6,23 P&D / DP,at number 15 Almost opposite Chelmsford Avenue,,2.40,None Nearby,Mon-Sun 07.00-24.00,FALSE,,,"replaced met,468    30/11/2010",TRUE,,Red,-6.251832,53.325734,02/01/2012 22:45:00,NULL
1002,9151,Orwell Mews,6,26 P&D / DP,At Tennis Court,,1.00,"Terenure Rd E 167, Victoria Rd 162",Mon-Sat 07.00-19.00,FALSE,,,replaced met. 21     30/11/2010,TRUE,,Orange,-6.274658,53.310583,02/01/2012 22:45:00,NULL
1003,9152,Dunville Avenue,8,8 P&D + 34 DP,Near shops & Beechwood Avenue,24/05/2001,1.60,"Oakley Rd 68, Moyne Rd 470, Annesley Pk 494",Mon-Sat 07.00-19.00,FALSE,,,"replaced met, 692    26/11/2010",FALSE,,Green,-6.256632,53.321032,02/01/2012 22:45:00,NULL
