No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comments 1,Further Information,Finished,Comment 2,X_Value,Y_Value,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
973,Main St Chapelizod,,,o/s Mulberry House,16/10/2009,€ 1.00,On Main Street at Pharmacy,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,310339,234477,Orange,Y,"<Point><coordinates>-6.343844,53.349243</coordinates></Point>","-6.343844,53.349243</coordinates></Point>","-6.343844,53.349243",-6.343844,53.349243
975,Merlyn Rd,,,Junction with Merrion Road,11/12/2009,€ 1.60,Merlyn Park 828,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,318815,231667,Green,Y,"<Point><coordinates>-6.217684,53.322173</coordinates></Point>","-6.217684,53.322173</coordinates></Point>","-6.217684,53.322173",-6.217684,53.322173
976,Alma court,,,,22/01/2010,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,315993,232017,Red,,"<Point><coordinates>-6.259884,53.325941</coordinates></Point>","-6.259884,53.325941</coordinates></Point>","-6.259884,53.325941",-6.259884,53.325941
977,St. Peters Close,,,,22/01/2010,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,315089,235635,Red,Y,"<Point><coordinates>-6.272131,53.358631</coordinates></Point>","-6.272131,53.358631</coordinates></Point>","-6.272131,53.358631",-6.272131,53.358631
979,Sandford Gardens,,,,02/02/2010,€ 1.60,,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,314565,232915,Green,,"<Point><coordinates>-6.280981,53.334317</coordinates></Point>","-6.280981,53.334317</coordinates></Point>","-6.280981,53.334317",-6.280981,53.334317
980,South Circular Road,,,,04/02/2010,€ 1.00,,Mon-Fri -07.00-19.00,FALSE,,,,FALSE,,313083,233388,Orange,Y,"<Point><coordinates>-6.303048,53.338883</coordinates></Point>","-6.303048,53.338883</coordinates></Point>","-6.303048,53.338883",-6.303048,53.338883
982,Rathdown Ave,,,0/s no. 16,,€ 1.00,981 Rathdown Park,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,313949,229401,Orange,,"<Point><coordinates>-6.291484,53.30289</coordinates></Point>","-6.291484,53.30289</coordinates></Point>","-6.291484,53.30289",-6.291484,53.30289
983,Shrewsbury Park,,,Junction of Merrion Road,,€ 1.60,,Mon-Sat  07.00-19.00,FALSE,,,,FALSE,,318618,231897,Green,Y,"<Point><coordinates>-6.220552,53.324283</coordinates></Point>","-6.220552,53.324283</coordinates></Point>","-6.220552,53.324283",-6.220552,53.324283
984,Fitgerald St,,,at no 16,,€ 1.60,,Mon-Sun 07.00-19.00,FALSE,,,,FALSE,,315049,232141,Green,Y,"<Point><coordinates>-6.273999,53.327261</coordinates></Point>","-6.273999,53.327261</coordinates></Point>","-6.273999,53.327261",-6.273999,53.327261
985,Wesley Place,,,,26/02/2010,€ 2.40,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,314858,232592,Orange,,"<Point><coordinates>-6.276701,53.331353</coordinates></Point>","-6.276701,53.331353</coordinates></Point>","-6.276701,53.331353",-6.276701,53.331353
986,Spencer St South,,,Junct of St. Vincent St Sth,05/03/2010,€ 2.40,,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,315061,232761,Red,,"<Point><coordinates>-6.273595,53.332826</coordinates></Point>","-6.273595,53.332826</coordinates></Point>","-6.273595,53.332826",-6.273595,53.332826
987,Grand Canal Street Upper,,,Opposite Number 18,05/03/2010,€ 2.40,,Mon-Sat 07.00-16.00,FALSE,Evening clearway,,,FALSE,,317536,233394,Red,,"<Point><coordinates>-6.236228,53.337968</coordinates></Point>","-6.236228,53.337968</coordinates></Point>","-6.236228,53.337968",-6.236228,53.337968
988,Glendalough Road,,,side of no 7 at lane end,12/03/2010,€ 1.60,,Mon-Sun 07.00-24.00,FALSE,,,Max stay 2 hours,FALSE,max,315885,236699,Green,Y,"<Point><coordinates>-6.259792,53.368013</coordinates></Point>","-6.259792,53.368013</coordinates></Point>","-6.259792,53.368013",-6.259792,53.368013
989,Finglas Road,,,Opposite Cemetry,12/03/2010,€ 1.00,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,314728,236823,Green,Y,"<Point><coordinates>-6.27712,53.369379</coordinates></Point>","-6.27712,53.369379</coordinates></Point>","-6.27712,53.369379",-6.27712,53.369379
990,Finglas Road,,,Opposite Cemetry,12/03/2010,€ 1.00,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,314659,236867,Green,Y,"<Point><coordinates>-6.27814,53.369789</coordinates></Point>","-6.27814,53.369789</coordinates></Point>","-6.27814,53.369789",-6.27814,53.369789
991,Rathmines Road Upper,,,Opposite no 183,12/03/2010,€ 1.00,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,315700,230819,Green,,"<Point><coordinates>-6.264716,53.315246</coordinates></Point>","-6.264716,53.315246</coordinates></Point>","-6.264716,53.315246",-6.264716,53.315246
