Index,Street,Postal Code,No of spaces,Location,
254,Merrion View Ave,D4,1,,
256,Mary St,D1,2,West of Wolfetone St,
257,Malpas Terrace,D8,1,,
258,Manor St W/side,D7,1,,
259,Millmount Ave,D9,1,,
260,Noel Purcell Way N/side,D2,1,,
261,Northbrook Terrace,D3,1,,
262,New Bride St L/S,D2,1,,
263,Northbrook Terrace,D3,1,,
264,Northbrook Ave Upper,D3,,,
265,O'Connell Gardens,D4,1,,
266,Oblate Drive Inchicore,D8,1,,
267,Oaklands Park,D4,1,,
268,Ormond Rd South N/side,D9,1,,
269,Old Finglas Rd S/side,D11,1,,
271,Pearse St,D2,1,,
272,Pearse Grove,D2,1,,
273,Parnell St,D1,1,East of Sth Georges St,
274,Pembroke Cottages,D4,1,,
275,Prospect Ave,D9,1,,
277,Palace St W/side,D2,1,South of Dame St,
279,Park Drive,D6,1,,
280,Park Drive,D6,1,,
281,Rathmines Rd Upper W/side,D6,1,,
282,Rathfarnham Rd W/side,D6W,1,,
283,Raymond St,D8,1,,
284,Rathmines Close,D6,1,,
285,Ringsend Park,D4,1,,
286,Raymond St,D8,1,,
287,Raymond St,D8,1,,
288,Sussex Rd L/S,D4,1,,
289,Shandon Park,D7,1,,
290,Stephens Rd,D8,1,,
291,St Patricks Rd W/side,D9,1,North of Annes Rd,
292,St Broc's Cottages,D4,1,,
293,St Canices Rd Finglas,D11,1,Sacred Heart School,
294,Sandymount Castle Park,D4,1,,
295,Summer Street North,D1,1,,
296,Seamus Ennis Rd,D11,1,Molloys Liquor,
297,St Josephs Place,D7,1,,
298,South Circular Rd,D8,1,,
299,Saint Clements Rd,D9,1,,
300,Seafort Ave,D4,1,In Triangle,
301,,D4,1,,
302,Saint Malachys Rd Glasnevin,D9,1,,
304,St Clements Rd,D9,1,,
305,St Bridgets Ave,D3,1,,
307,St Agnes Rd W/side,D12,1,,
309,South Lotts Rd,D4,1,,
310,St Kevins Parade,D8,1,,
311,South Circular Rd S/side,D8,1,,
312,St Marys Rd North Eastern Side,D3,1,,
314,St Stephens Green North,D2,1,,
317,St Margarets Ave,D5,1,,
318,St Marys Rd,D3,1,,
319,Tyrconnell Rd,D8,1,,
321,The Thatch Rd E/side,D9,1,,
322,Tower Ave W/side,D6,1,,
324,Whitworth Tce N/side,D9,1,,
325,Watermill Rd,D5,1,South east of Main St,
329,Cullenswood Gardens,D6,1,,
330,Rathmines Close,D6,1,,
331,Sandymount,D4,1,at lamp no.17 east side of road,
332,Sandymount,D4,1,20.5 mtrs north west of lamp no. 17,
333,Ard Righ Road,D7,1,,
334,Ashford Street,D7,1,,
335,Manor Street,D7,1,,
336,Albany Road,,1,,
337,Arbour Hill Prison,,1,,
338,Ard Righ Road,,1,,
339,Ashfield Ave,,1,,
340,Ave Maria Road,,1,,
341,Arran Quay,,1,,
342,Bachelor's Walk,,1,,
343,Brunswick Street North,,1,,
344,Botanic Ave,,1,,
345,Black Pitts,,1,South Of Funley Lane,
346,Ballyfermot,,1,Road End Of Cole Park Ave,
347,Baggot Street Upper,,1,North Side od old hospital,
348,Castle View Artane,,1,End of Cul de sac,
349,Cathal Burgh Street,,1,South Side West of malborough Stree Dublin 1,
350,Claude Road,,1,,
351,Claude Road,,1,,
352,Clarence Mangan Road,,1,,
353,Cymric Road,,1,,
354,Crumlin Village,,1,Area Office,
355,Cuffe Lane,,2,West side north of Cuffe Street,
356,Cameron Square,,1,,
357,Clanmoyle Road,,1,,
358,Caroline Road,,1,Off Bridge Street,
359,Clarendon Street,,1,,
360,Clanbrassil Street Lower,,1,,
361,Cumberland Street,,1,,
362,Eden more Park,,1,Health Centre,
363,Eaton Road,,1,,
364,Eton Square,,1,,
365,Eccless Street,,1,Mater Private,
366,Faulkness Terrace,,1,,
367,Greek Street,,3,River House,
368,Grattan Cresent,,1,,
369,Harold Road,,1,,
370,Harcourt Terrace,,1,West side,
371,Huband Road,,1,,
372,Hardwick Place,,1,Dermot O Dywer House,
373,Hardwick Road,,1,End Of Cul De sac,
374,Hollybank Road,,1,,
375,Hollybank Road,,1,,
376,Isolda Road,,1,,
377,Killarney Street,,1,,
