id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
,7606,Baggot Street Lower,2,97 P n D + 4 DP (Total),Number 116,16/05/2002,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1461,TRUE,,Yellow,-6.249832,53.336971,01/08/2011 16:16:08,null
,7639,North Wall Quay,1,31 P n D (Total),At Tilesavers,13/04/2002,1.60,Nth Wall Quay 475,Mon-Sat 07.00-19.00,FALSE,,,replaced met.156  12/06/2009,FALSE,,Green,-6.235015,53.347303,01/08/2011 16:16:08,null
,7695,Grove Park,6,111 P n D / DP,No 59 - 60,,1.60,None Nearby,Mon-Sun 07.00-24.00,FALSE,,P n D Mon - Fri,replaced met.229   12/06/2009,TRUE,,Green,-6.267767,53.329191,01/08/2011 16:16:08,null
,7729,Pembroke Street Lower,,,,,2.90,,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1528,FALSE,,Yellow,-6.252861,53.336173,01/08/2011 16:16:08,null
,7808,Cambridge Avenue,,,,,,none,Mon-Sun 07-24.00,FALSE,,installed April 2011,,FALSE,,Orange,-6.216356,53.342754,01/08/2011 16:16:08,null
,7831,Ardee Road,6,26 P n D / DP,Junction with Williams Park,,1.60,Military Rd 292,Mon-Fri 08.00-18.30,FALSE,,,replaced met.291   12/06/2009,TRUE,,Green,-6.266909,53.325405,01/08/2011 16:16:08,null
,7842,Ashfield Avenue,6,26 P n D / DP,Corner of Ashfield Road,,1.60,Mornington Rd 303,Mon-Sun 07.00-24.00,FALSE,,P n D Mon - Fri,replaced met.230   15/09/2009,TRUE,,Green,-6.252708,53.323468,01/08/2011 16:16:08,null
,7853,Merrion Square East,2,65 P n D (Total),No 40,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,E.Side Sth of Mount St Lwr,TRUE,,Yellow,-6.246703,53.339062,01/08/2011 16:16:08,null
,7864,Elmwood Avenue Lower,6,68 P n D / DP,Opp no 10,,1.60,Elmpark Ave 297,Mon-Sat 07.00-24.00,FALSE,,,replaced met.41  12/06/2009,TRUE,,Green,-6.255211,53.324471,01/08/2011 16:16:08,null
,7875,Merrion Square North,2,35 P n D (Total),Opp No 16,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,S.Side,TRUE,,Yellow,-6.248837,53.34037,01/08/2011 16:16:08,null
,7909,Merrion Square South,2,165 P n D + 26 DP (Total),Opp no 64,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1023,TRUE,,Yellow,-6.251054,53.339315,01/08/2011 16:16:08,null
,7910,Merrion Square South,2,165 P n D + 26 DP (Total),No 55,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.1034,TRUE,,Yellow,-6.250539,53.339137,01/08/2011 16:16:08,null
,7932,Merrion Square South,2,165 P n D + 26 DP (Total),No 65,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.10456,TRUE,,Yellow,-6.249351,53.338713,01/08/2011 16:16:08,null
,7954,Merrion Square South,2,165 P n D + 26 DP (Total),No 76,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,S.Side,TRUE,,Yellow,-6.248863,53.338541,01/08/2011 16:16:08,null
,7976,Dorset Street Lower,1,10 P n D,At lighting pole 16,,2.90,None Nearby (In The Same Zone),Mon-Sat 07.00-19.00,FALSE,,Indent parking,,TRUE,,Yellow,-6.266063,53.354904,01/08/2011 16:16:08,null
,7998,Strand Road (Car Park@ Martello Tower),,39 P n D 4 Disabled Bays,,,0.60,none near enough,Mon-Fri. 11.00-17.00,FALSE,,No Max Stay,Installed 21/04/2011,FALSE,,Blue,-6.206715,53.32439,01/08/2011 16:16:08,null
,8011,Baggot Street Lower,2,97 P n D + 4 DP (Total),O2 House,27/03/2000,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.488,TRUE,,Yellow,-6.246265,53.334768,01/08/2011 16:16:08,null
,8033,Richmond Cottages,2,50 P+D/DP,Side of no.20 Richmond Cottages,17/02/2009,1.60,o/s No. 23 NCR,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,-6.249914,53.357912,01/08/2011 16:16:08,null
,8066,Cardiff Lane,2,44 P n D / DP,At Arena Kitchen Architecture,,2.40,Macken St 44,Mon-Fri 08.00-18.30,FALSE,,,replaced met.3362,TRUE,,Red,-6.240642,53.345626,01/08/2011 16:16:08,null
,9000,Baggot Street Lower,2,97 P n D + 4 DP (Total),Number 135,15/05/2002,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7550   12/05/2009,TRUE,,Yellow,-6.251908,53.33767,01/08/2011 16:16:08,null
,9001,Dominick Street Lower,1,96 P n D + 18 DP (Total),At flats,,2.90,7 On Dominick St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced meter 7099  12/05/2009,TRUE,,Yellow,-6.26628,53.351897,01/08/2011 16:16:08,null
,9002,Dominick Street Lower,1,96 P n D + 18 DP (Total),Opp Church,,2.90,7 On Dominick St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced meter 9006 12/05/2009,TRUE,,Yellow,-6.267392,53.352326,01/08/2011 16:16:08,null
,9006,Fitzwilliam Square West,,,,,2.90,,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7730   12/05/2009,FALSE,,Yellow,-6.252925,53.335724,01/08/2011 16:16:08,null
,9007,King's Inns Street,1,45 P n D (Total),At College,,2.90,4 On King's Inns St,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7202   12/05/2009,TRUE,,Yellow,-6.268008,53.351621,01/08/2011 16:16:08,null
,9008,Merrion Square East,2,65 P n D (Total),Opp no 42,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7831  20/05/2009,TRUE,,Yellow,-6.247106,53.33898,01/08/2011 16:16:08,null
,9009,Merrion Square North,2,35 P n D (Total),Opp no 22,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7864   20/05/2009,TRUE,,Yellow,-6.247959,53.34006,01/08/2011 16:16:08,null
,9010,Merrion Square North,2,35 P n D (Total),Opp No 10,,2.90,18 On Merrion Square,Mon-Fri 07.00-19.00,FALSE,,,replaced met.7886   20/05/2009,TRUE,,Yellow,-6.249551,53.340617,01/08/2011 16:16:08,null
,9011,Merrion Square South,2,165 P n D + 26 DP (Total),No 81,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7976   12/05/2009,TRUE,,Yellow,-6.248291,53.338539,01/08/2011 16:16:08,null
,9012,Merrion Square South,2,165 P n D + 26 DP (Total),No 69,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7943    12/05/2009,TRUE,,Yellow,-6.249009,53.338795,01/08/2011 16:16:08,null
,9013,Merrion Square South,2,165 P n D + 26 DP (Total),Opp no 56,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7897    12/05/2009,TRUE,,Yellow,-6.251545,53.339487,01/08/2011 16:16:08,null
,9014,Merrion Street Upper,2,20 P n D,Opp no 80,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.8000,TRUE,,Yellow,-6.25153,53.340089,01/08/2011 16:16:08,null
,9020,St. Stephen's Green East,2,61 P n D (Total),Outside Loretto College at LS70,,2.90,12 on St. Stephen's Green and 2 on Hume Street,Mon-Sat 07.00-19.00  Sun 14.00-18.00,FALSE,,,replaced met.7426   12/05/2009,FALSE,,Yellow,-6.256111,53.337487,01/08/2011 16:16:08,null
,9038,Clontarf Road,,In Car Park,Centre of car park opposite Church Hall,12/02/2010,0.60,,Mon-Fri 08-18.00,FALSE,,no max stay,,FALSE,,Blue,-6.217755,53.362208,01/08/2011 16:16:08,null
,9042,Baggot Street Lower,2,97 P n D + 4 DP (Total),Tesco,15/05/2002,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7594           20/05/2009,TRUE,,Yellow,-6.251701,53.337803,01/08/2011 16:16:08,null
,9049,Merrion Square South,2,165 P n D + 26 DP (Total),No 85,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7965            20/05/2009,TRUE,,Yellow,-6.248352,53.338362,01/08/2011 16:16:08,null
,9050,Merrion Square West,2,65 P n D (Total),Opp Leinster House,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met.7987            20/05/2009,TRUE,,Yellow,-6.251013,53.340594,01/08/2011 16:16:08,null
,9056,Leinster Square,6,50 P n D,Across from number 7,,1.60,Leinster Rd 610,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,-6.266467,53.323503,01/08/2011 16:16:08,null
,9058,Merrion Square East,2,65 P n D (Total),Opp no 47,,2.90,18 On Merrion Square,Mon-Sat 07.00-19.00,FALSE,,,replaced met 7842,TRUE,,Yellow,-6.24756,53.338524,01/08/2011 16:16:08,null
,9077,Carlingford Road,,117  + 3 disabled,Jct Glenarm Avenue,,1.60,850 Glenarm Avenue,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,-6.257319,53.366387,01/08/2011 16:16:08,null
,9078,Clontarf Road,,In car Park,Centre of CP opposite Church Grounds,29/01/2010,0.60,,Mon-Fri 11.00-18.00,FALSE,,3 hour max,Meter in Car Park replaced mt.7471.01/12/2010,FALSE,,Blue,-6.197675,53.359237,01/08/2011 16:16:08,null
,9103,Clontarf Road Car Park,,,,01/03/2010,0.60,At Railway Bridge,Mon-Fri  08.00-18.00,FALSE,,,,FALSE,,Blue,-6.223931,53.363243,01/08/2011 16:16:08,null
,9105,Baggot Street Lower,2,97 P n D + 4 DP (Total),Number 94,19/04/1999,2.90,10 On Baggot St Lwr,Mon-Sat 07.00-19.00,FALSE,,,replaced met 7617,TRUE,,Yellow,-6.247259,53.33551,01/08/2011 16:16:08,null
,9155,Capel Street,1,75 P n D (Total),At CASA Charity Shop,28/03/2007,2.90,8 on Capel Street,Mon-Sat 07.00-19.00 Sun14.00-18.00,FALSE,,,,FALSE,,Yellow,-6.268342,53.347604,01/08/2011 16:16:08,null
,9180,Fortfield Terrace,,60,at no. 33,11/01/2011,2.40,812(Cowper Rd)991 Rathmines Rd,Mon-Fri 07.00-19.00,FALSE,,,New,FALSE,,Red,-6.262064,53.314776,01/08/2011 16:16:08,null
,9195,Gardiner Place,1,22 P n D + 10 DP (Total),outside no.13,,2.40,Gardiner Place 267,Mon-Sat 07.00-19.00,FALSE,,,mt. 268 changed 15/03/2011,TRUE,,Red,-6.259933,53.356416,01/08/2011 16:16:08,null
,9196,Botanic Road,,14 P n D(Total),Opposite Botanic Gardens,21/08/2009,1.00,,Mon-Sat 07.00-19.00,FALSE,,,met.961 changed 03/03/2011,FALSE,,Orange,-6.269177,53.371834,01/08/2011 16:16:08,null
,9197,Wynnefield Road,,,Outside Toilets,13/11/2009,1.60,,Mon-Sat07.00-19.00,FALSE,,,Formerly  mt.974 03/03/2011,FALSE,,Green,-6.267155,53.322084,01/08/2011 16:16:08,null
,9198,Seafort Terrace,4,6 P n D + 36 DP,Sandymount Village,23/04/2002,1.00,6 In Sandymount Village,Mon-Sat 07.00-19.00,FALSE,,,met 62 changed 08/03/2011,FALSE,,Orange,-6.214347,53.333356,01/08/2011 16:16:08,null
,9201,Anglesea Road,4,105 P n D / DP (Total),Near Public Light Number 9,09/05/2000,2.40,Angelsea Rd 288,Mon-Sat 07.00-19.00,FALSE,,,mt.524 changed 08/03/2011,TRUE,,Red,-6.230992,53.326435,01/08/2011 16:16:08,null
,9208,Burlington Road,4,144 P n D / DP (Total),East of Southside Mespil Road,,2.90,5 On Burlington Rd,Mon-Fri 08.00-18.30,FALSE,,,mt.286 changed 08/03/2011,TRUE,,Yellow,-6.246532,53.332358,01/08/2011 16:16:08,null
,9211,Infirmary Road,8,33 P n D + 15 DP (Total),At Number 20,,1.60,None Nearby,Mon-Sat 07.00-19.00,FALSE,,,mt. 753 changed 11/03/2011,FALSE,,Green,-6.296673,53.350771,01/08/2011 16:16:08,null
,9217,Raglan Road,4,91 P n D / DP,Corner of Pembroke Lane,,2.90,4 On Pembroke Rd,Mon-Fri 08.00-18.30,FALSE,,,mt. 287 changed 08/03/2011,TRUE,,Yellow,-6.237838,53.331856,01/08/2011 16:16:08,null
,9220,Woodville Road,,13 P n D+Permit,at side of no.203 Botanic Ave,,1.60,none nearby,Mon-Sun 07.00-24.00,FALSE,,,mt. 956 changed 15/03/2011,FALSE,,Orange,-6.259113,53.368453,01/08/2011 16:16:08,null
,9221,David Road,1,,Whitworth Road junction,,1.60,,Mon-Sun 07.00-24.00,FALSE,,,mt. 941 changed 15/03/2011,FALSE,,Green,-6.268443,53.363997,01/08/2011 16:16:08,null
,9225,Haddington Road,4,145 P n D / DP (Total),No 44,,2.90,Haddington Rd 514,Mon-Sat 07.00-19.00,FALSE,,,Replaced meter 9225 30/05/2011,TRUE,,Yellow,-6.240297,53.335571,01/08/2011 16:16:08,null
,9226,Haddington Road,4,145 P n D / DP (Total),The Hibernian,03/05/2000,2.90,Haddington Rd 239,Mon-Sat 07.00-19.00,FALSE,,,Replaced meter 514 30/05/2011,TRUE,,Yellow,-6.242655,53.334871,01/08/2011 16:16:08,null
,9231,Poolbeg Street,2,11 P n D,Opposite Corn Exchange entrance,,2.90,2 On Burgh Quay,Mon-Sat 07.00-19.00,FALSE,,,Replaced met.9231 20/06/2011,TRUE,,Yellow,-6.256225,53.346817,01/08/2011 16:16:08,null
,9232,Clonmel Street,2,14 P n D,Harcourt Creche,,2.90,Montague St 257,Mon-Sat 07.00-19.00,FALSE,,,replaced meter 14      31/05/2011,TRUE,,Yellow,-6.26297,53.336081,01/08/2011 16:16:08,null
,9233,Herbert Park,4,198 P n D / DP (Total),At entrance to Park,,2.40,Herbert Park 7213,Mon-Fri 08.00-18.30,FALSE,,,replaced met.255.15/09/2009replaced met.7033 24/06/2011,FALSE,,Red,-6.235344,53.327378,01/08/2011 16:16:08,null
